,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23
"arc2_(2,1)",0.001999503,0.00088960683,-0.0019994956,0.0068883523,-0.00088960637,-0.00688836,0.0013354196,0.036608413,-0.0013354187,-0.0060408744,-0.036608405,0.006040869,0.30705565,0.15974292,0.6929442,-0.13834168,-0.1597429,0.109330654,0.026909646,0.0033545047,0.010791965,-0.0033545047,-0.026909646,-0.010791972
"arc3_(2,1)",-0.017940104,0.034525115,0.017940119,-0.038764138,-0.03452512,0.038764127,-0.021535292,0.058024563,0.021535289,0.0035164629,-0.058024548,-0.0035164722,0.096754536,-0.16159853,-0.096754536,0.73869634,0.16159853,0.22291508,0.021416884,0.021808397,0.02288627,-0.021808397,-0.021416876,-0.022886267
"arc4_(2,1)",-0.001999459,-0.0008896266,0.0019994702,-0.0068883444,0.000889619,0.006888352,-0.0013354471,-0.0366084,0.0013354431,0.006040854,0.0366084,-0.006040854,0.19294432,0.34025708,-0.19294436,0.13834168,0.65974295,-0.109330684,-0.026909621,-0.0033545122,-0.010792004,0.0033545122,0.026909614,0.010791993
"arc5_(2,1)",0.04736021,-0.06288214,-0.047360227,0.046826866,0.06288212,-0.046826858,-0.052939214,0.03940953,0.0529392,-0.034929406,-0.039409537,0.03492942,-0.14555852,0.1366963,0.1455585,0.30037603,-0.13669628,0.61241585,0.14596342,-0.07882594,-0.06407216,0.07882595,-0.14596343,0.06407216
"arc0_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc1_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc2_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc3_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc4_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"arc5_(2,2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
